P42,Langhorne Pa,401500,750000,0.38908,-1.39399,401500,745230,0.38976,-1.40722,400730,750000,0.39644,-1.39042,400730,745230,0.39648,-1.40546
086,Trenton West Pa-NJ,401500,745230,0.38976,-1.40722,401500,744500,0.39043,-1.42044,400730,745230,0.39648,-1.40546,400730,744500,0.39651,-1.42050
087,Trenton East NJ-Pa,401500,744500,0.39043,-1.42044,401500,743730,0.39330,-1.43574,400730,744500,0.39651,-1.42050,400730,743730,0.40111,-1.43552
088,Allentown NJ,401500,743730,0.39330,-1.43574,401500,743000,0.39616,-1.45103,400730,743730,0.40111,-1.43552,400730,743000,0.40571,-1.45054
089,Roosevelt NJ,401500,743000,0.39616,-1.45103,401500,742230,0.39842,-1.46367,400730,743000,0.40571,-1.45054,400730,742230,0.40875,-1.46466
090,Adelphia NJ,401500,742230,0.39842,-1.46367,401500,741500,0.40067,-1.47631,400730,742230,0.40875,-1.46466,400730,741500,0.41180,-1.47878
091,Farmingdale NJ,401500,741500,0.40067,-1.47631,401500,740730,0.40238,-1.49122,400730,741500,0.41180,-1.47878,400730,740730,0.41292,-1.49549
092,Asbury Park NJ,401500,740730,0.40238,-1.49122,401500,740000,0.40409,-1.50614,400730,740730,0.41292,-1.49549,400730,740000,0.41403,-1.51219
A07,Asbury Park NJ / Atlantic Ocean,401500,740000,0.40409,-1.50614,401500,735230,0.40239,-1.51828,400730,740000,0.41403,-1.51219,400730,735230,0.41172,-1.52456
A08,Atlantic Ocean,401500,735230,0.40239,-1.51828,401500,734500,0.40068,-1.53042,400730,735230,0.41172,-1.52456,400730,734500,0.40940,-1.53692
A09,Atlantic Ocean,401500,734500,0.40068,-1.53042,401500,733730,0.39680,-1.54049,400730,734500,0.40940,-1.53692,400730,733730,0.40540,-1.54748
P43,MalvernPa,400730,753730,0.36849,-1.28541,400730,753000,0.37765,-1.31581,400000,753730,0.38798,-1.23231,400000,753000,0.39130,-1.26762
P44,Valley Forge Pa,400730,753000,0.37765,-1.31581,400730,752230,0.38639,-1.33755,400000,753000,0.39130,-1.26762,400000,752230,0.39848,-1.30695
P45,Norristown Pa,400730,752230,0.38639,-1.33755,400730,751500,0.39514,-1.35928,400000,752230,0.39848,-1.30695,400000,751500,0.40565,-1.34627
P46,Germantown Pa,400730,751500,0.39514,-1.35928,400730,750730,0.39579,-1.37485,400000,751500,0.40565,-1.34627,400000,750730,0.40472,-1.36656
093,Frankford Pa-NJ,400730,750730,0.39579,-1.37485,400730,750000,0.39644,-1.39042,400000,750730,0.40472,-1.36656,400000,750000,0.40380,-1.38686
094,Beverley Pa-NJ,400730,750000,0.39644,-1.39042,400730,745230,0.39648,-1.40546,400000,750000,0.40380,-1.38686,400000,745230,0.40319,-1.40371
095,Bristol Pa-NJ,400730,745230,0.39648,-1.40546,400730,744500,0.39651,-1.42050,400000,745230,0.40319,-1.40371,400000,744500,0.40259,-1.42056
096,Columbus NJ,400730,744500,0.39651,-1.42050,400730,743730,0.40111,-1.43552,400000,744500,0.40259,-1.42056,400000,743730,0.40892,-1.43530
097,New Egypt NJ,400730,743730,0.40111,-1.43552,400730,743000,0.40571,-1.45054,400000,743730,0.40892,-1.43530,400000,743000,0.41525,-1.45005
098,Cassville NJ,400730,743000,0.40571,-1.45054,400730,742230,0.40875,-1.46466,400000,743000,0.41525,-1.45005,400000,742230,0.41909,-1.46565
099,Lakehurst NJ,400730,742230,0.40875,-1.46466,400730,741500,0.41180,-1.47878,400000,742230,0.41909,-1.46565,400000,741500,0.42293,-1.48125
